tortured_phrase,expected_phrase,num_papers
"""ingestion spectrometer""",[atomic] absorption spectrometer,3
"""electron opening matches""",electron-hole,3
"""boisterous natural condition""",noisy environment,3
"""vacillation designs""",fluctuation/wave patterns,3
"""platinum-bunch metals""",platinum-group metals,3
"""full-scale phages""",macrophages,3
"""hypochlorous corrosive""",hypochlorous acid,3
"""vindictive SUs""",Malicious SUs,3
"""IP satirizing""",IP spoofing,3
"""mechanized recognizable proof""",automatic identification,3
"""directed learning and unaided learning""",supervised [machine] learning and unsupervised [machine] learning,3
"""sinister ventricle""",left ventricle,3
"""field discharge examining""",field emission scanning,3
"""talking about underneath""",discussed below,3
"""time-recurrence highlights""",time-frequency features,3
"""uncorrelated woodland""",random forest,3
"""profound remaining organization""",deep residual network,3
"""otherworldly pinnacles""",spectral peaks,3
"""electronic plan automation""",Electronic Design Automation (EDA),3
"""Central Road analysis Institute""",Central Road Research Institute,3
"""recreated gastric liquid""",Simulated Gastric Fluid (SGF),3
"""leastsquares relapse""",least-squares regression,3
"""pseudo-second request template""",Pseudo-second order equation,3
"""reasonableness esteem""",logic value (?),3
"""strengthen vector machine""",support vector machine (SVM),3
"""multi-aspect perceptron""",multilayer perceptron (MLP),3
"""thick boobs""",large breasts,3
"""Dark medium Prior""",dark channel prior,3
"""World Prosperity Organization""",World Health Organization,3
"""unthinkable hunt"" AND ""Tabu""",Tabu search,3
"""Normal Article in Setting""",Microsoft COCO: Common Objects In Context,3
"""Foundation of Electrical and Electronic Engineers""",Institute of Electrical and Electronic Engineers (IEEE),3
"""heat exchanger gadgets""",heat exchanger units,3
"""coaxial nourish""",coaxial feed,3
"""offerbuiltintegrated""",offer also integrated,3
"""thermophoresis wonders""",thermophoresis effects,3
"""concoction reusing""",chemical recycling,3
"""trickery in conduct""",fraud,3
"""international common pooling""",global average pooling layer,3
"""straightforward structures"" AND ""clear designs""",clear designs,3
"""accuracy, take into account, precision""","accuracy, recall, precision",3
"""first-rate Tree""",Fine Tree,3
"""teichoic corrosive""",teichoic acid,3
"""Boston Counseling Gathering""",Boston Consulting Group,3
"""board mistake revision system""",panel error correction model,3
"""seeing errands""",computer vision tasks,3
"""ARP ridiculing""",ARP spoofing,3
"""scarp tide""",steep rise,3
"""normalized distinction flora index""",normalized difference vegetation index,3
"""phenylboronic corrosive""",phenylboronic acid,3
"""mind surgery"" AND ""brain surgery""",brain surgery,3
"""Assembled Academic Community""",Integrated Knowledge Network ?,3
"""resistant framework disease""",immune system disease,3
"""FMOLS assessor""",FMOLS estimator,3
"""strong state circle""",solid state disk,3
"""astute metering""",smart metering,3
"""dreary layers""",recurrent layers,3
"""secret (hidden) layers""",hidden layers,3
"""beautify generalization""",???,3
"""angle supported trees""",Gradient Boosted Trees (GBT),3
"""casting ballot results""",vote results,3
"""gene hushing""",gene silencing,3
"""global telecommunication association""",International Telecommunication Union (ITU),3
"""standardized root mean square mistake""",normalized root mean square error (NRMSE),3
"""middle misfortune""",center loss,3
"""engine vacillations""",motor fluctuation,3
"""solo component learning""",unsupervised feature learning,3
"""Lyapunov-Krasovskii work""",Lyapunov-Krasovskii function,3
"""cardiac rate changeability""",heart rate variability (HRV),3
"""allyl-liquor""",ally alcohol,3
"""new-age medication""",modern medicine,3
"""giving up-to-end""",end-to-end,3
"""engraved prognosis""",???,3
"""seen ease of utilization""",Perceived Ease of Use (PEU),3
"""unmarried photon""",single photon,3
"""nutrient B9"" AND ""vitamin""",vitamin B9,3
"""possession fixation""",ownership concentration,3
"""vaticination algorithm""",prediction algorithm,3
"""autoregressive moving every day""",autoregressive moving average,3
"""sunglasses of grey""",shades of grey (in the color sense),3
"""uprightness of the votes""",electoral integrity,3
"""fish seminary search""",fish school search,3
"""disordered dot matrix""",confusion matrix,3
"""convolutional neural affiliation""",convolutional neural network,3
"""minuscule evaluation""",microscopic evaluation,3
"""therapeutic determination framework""",medical diagnosis system,3
"""insightful lattice""",smart grid,3
"""dimension reduction branche""",dimensionality reduction pipeline,3
"""arm desolation""",arm pain,3
"""Taylor series guesstimate""",Taylor series approximation,3
"""Prophet data set""",Oracle database,3
"""gait popularity""",gait recognition,3
"""strange esteems""",unusual values,3
"""straightly distinct information""",linearly separable data,3
"""middle pay nations""",middle income countries,3
"""binary-esteemed""",binary-valued,3
"""application particular incorporated circuits""",Application specific integrated circuit (ASICs),3
"""autoregressive shifting average""",autoregressive moving average,3
"""administered education"" AND ""supervised learning""",supervised [machine] learning,3
"""otherworldly clustering""",spectral clustering,3
"""saltiness angle""",salinity gradient,3
"""k-infers clustering""",k-means clustering,3
"""Trapezoidal enrollment work""",trapezoidal membership function,3
"""random hunt"" AND ""random search""",random search,3
"""neglecting entryway""",forget gate,3
"""again propagation algorithm""",Backpropagation algorithm (BPA),3
"""aloof attack""",passive attack,3
"""fluffy vigorous""",???,3
"""soft induction systems""",fuzzy inference systems,3
"""time-distinction of appearance""",Time Difference of Arrival (TDoA),3
"""off-target locales""",off-target sites,3
"""sequential forward choice""",sequential forward selection (SFS),3
"""Fourier portrayal""",Fourier representation,3
"""shrouded level""",hidden layer,3
"""disuniting hyper-plane""",separating hyperplane (in the context of SVM),3
"""remote mixed media sensor systems""",wireless multimedia sensor networks,3
"""trained from scrape""",trained from scratch,3
"""agglomerative progressive grouping""",agglomerative hierarchical clustering,3
"""hierarchical cluster scrutiny""",hierarchical cluster analysis (HCA),3
"""non-straight streamlining""",nonlinear optimization,3
"""tainted kids""",infected/affected kids,3
"""utilitarian electrical incitement""",Functional Electrical Stimulation (FES),3
"""ordinary language age""",natural language generation,3
"""shrewd observe""",smart watch,3
"""slice level precision""",frame-level accuracy,3
"""otherworldly bunching""",spectral clustering,3
"""slanted supply route""",inclined channel,3
"""dynamic subject model""",Dynamic topic modeling (DTM),3
"""cerebrum sickness""",brain disease,3
"""dental functional theory""",density functional theory,3
"""underpinning learning ways""",reinforcement learning,3
"""logo spanking""",???,3
"""unearthing into""",digging into,3
"""quick discrete curvelet transform""",fast discrete curvelet Transform (FDCT),3
"""band skip channel""",band stop filter,3
"""incomparable melancholy""",Great Depression,3
"""mistake back engendering""",error backpropagation,3
"""Lobatto IIIa relation""",Lobatto IIIa formula,3
"""behind-schedule treatment""",delayed treatment,3
"""red inexperienced blue""","red, green, blue",3
"""to mislead the votes""",to tamper with the votes,3
"""jump movement regulator""",Leap Motion controller,3
"""absolute intrigue""",zero interest [rates],3
"""passionate concentrated""",emotional intensity,3
"""non-engine side-effects""",non-motor symptoms,3
"""wi-fireless""",wireless,3
"""ionic portability""",Ionic transfer/transport,3
"""neglecting door""",forget gate (part of a LSTM network),3
"""significant wellspring of carbon emission""",significant source of carbon emissions,3
"""Knudsen dissemination""",Knudsen diffusion,3
"""Wilcoxon exam""",Wilcoxon test,3
"""Yankee Federation of Teachers""",American Federation of Teachers,3
"""box Bunken design""",Box-Behnken Design,3
"""drug conveyance transporters""",drug delivery carriers,3
"""near-period period""",???,3
"""Regular Client Association""",Natural User Interface (NUI),3
"""unaided artificial intelligence""",unsupervised artificial intelligence,3
"""pretty correct privacy""",pretty good privacy (PGP),3
"""higher pay levels"" AND ""higher income levels""",higher-income levels,3
"""well-judged changes""",rational modifications,3
"""North Yank country""",North American country,3
"""unmarried-pass""",single-pass,3
"""Self-regression Sliding Average Model""",Auto-Regressive Moving Average Model,3
"""monetary loan costs""",interest rates,3
"""normal squared deviation""",mean squared error (MSE),3
"""k-resources assembling""",K-means clustering,3
"""outwardly obstructed""",visually impaired,3
"""commotion affectability""",noise susceptibility,3
"""SCF coherence""",SCF convergence,3
"""indicator to commotion""",signal to noise,3
"""ease Socket Layer""",Secure Socket Layer,3
"""preserved at 9.5""",kept at 9.5,3
"""encouraging conditions UTAUT""~10","facilitating conditions, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",3
"""pre-prepared profound model""",pre-trained deep model,3
"""deep switch learning""",deep transfer learning,3
"""high-goal recording""",high-resolution video,3
"""hand tourist spot""",hand landmark,3
"""inconspicuous dialect""",unseen language,3
"""expressive dance-based""",? [qualifies a physical voting system],3
"""vegetable 011s""",vegetable oils,3
"""Summarization responsibilities""",summarization tasks,3
"""fuzzy pick up planning""",fuzzy gain scheduling,3
"""reversible possessions""",reversible property,3
"""monetary demonstrating""",financial modeling,3
"""gloom acknowledgment""",depression recognition,3
"""crimson, inexperienced and blue""","red, green and blue (RGB)",3
"""possessions of Hall""",Hall effects,3
"""detainee's predicament""",Prisoner's Dilemma,3
"""round-experience time""",round-trip time,3
"""unclad ocular technique""","naked eye (as in \""visible to the naked eye\"")",3
"""peevish inside disorder""",irritable bowels syndrome,3
"""cardiovascular capture""",cardiac arrest,3
"""conveyed forswearing of administration""",distributed denial of service (DDoS),3
"""conduct goal UTAUT""~10","performance expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",2
"""slope-helped tree""",gradient-boosted tree,2
"""conduct bits of knowledge""",behavioral insights,2
"""COVID-19 plague outbreak""",COVID-19 pandemic,2
"""ghastly bunching""",spectral clustering,2
"""Gaussian optical heartbeat""",Gaussian pulse,2
"""hypothesis of amusements""",games theory,2
"""electronic wellbeing record stage""",electronic health record platform,2
"""pseudo-prime request""",Pseudo-first order,2
"""sign to-fuss extent""",signal-to-noise ratio,2
"""disdain wrongdoing""",hate crime,2
